rel_depth_pct,esm2_layer,rita_layer,d_seq_full,d_seq_val
0,0,0,1.6435881946691744,1.4715036840401983
13,4,3,-0.17705322693902445,-0.06863588477039495
25,8,6,0.26186409456850884,0.28067975532580436
38,12,9,1.0987923357936595,1.2927941298410157
50,16,12,2.029196428709702,2.2120664462570465
63,20,15,2.3056078901823263,2.494565033882912
75,24,18,2.188246013814858,2.2904211689887144
88,28,21,0.4631387966985887,0.5200373311251448
100,32,23,-0.9831368270041484,-0.9693670553891522
