pair,variant,rel_depth,layer_pair,s_esm,s_rita,split,d_point,d_boot_mean,boot_sd,ci_normal_lo,ci_normal_hi,ci_pct_lo,ci_pct_hi
esm2_vs_rita,struct_topdec,0%,L0/L0,0.0814208984375,0.2496337890625,full,1.4401912220267747,1.223708909137633,0.0332317081487602,1.3750570740552048,1.5053253699983447,1.155861297949894,1.2841901020041306
esm2_vs_rita,struct_topdec,0%,L0/L0,0.0814208984375,0.2496337890625,val,0.7422657282872298,0.5765799078188241,0.0403909375728585,0.6630994906444272,0.8214319659300324,0.4961391248476255,0.6563884323223665
esm2_vs_rita,seq_topdec,0%,L0/L0,0.0814208984375,0.2496337890625,full,1.6435883253658403,1.5680653481101565,0.039208925804886455,1.5667388307882628,1.7204378199434178,1.474624287985892,1.622003579345716
esm2_vs_rita,seq_topdec,0%,L0/L0,0.0814208984375,0.2496337890625,val,1.4196819687188778,1.2387425159870997,0.03418537490218585,1.3526786339105934,1.486685303527162,1.170043125703676,1.302213123229338
esm2_vs_rita,struct_0.5s,0%,L0/L0,0.0814208984375,0.2496337890625,full,1.3883637971173053,1.1764881190043457,0.03244068864299004,1.3247800473770448,1.4519475468575658,1.110841162440132,1.2355623639640554
esm2_vs_rita,struct_0.5s,0%,L0/L0,0.0814208984375,0.2496337890625,val,0.7251693736569329,0.5635198346026753,0.03986664737009735,0.6470307448115421,0.8033080025023237,0.48484646237606255,0.6436184243911384
esm2_vs_rita,struct_1.0s,0%,L0/L0,0.0814208984375,0.2496337890625,full,0.7234476928419669,0.5904470075199035,0.025373992934200004,0.6737146666909348,0.7731807189929989,0.5375203496066826,0.6387466412609449
esm2_vs_rita,struct_1.0s,0%,L0/L0,0.0814208984375,0.2496337890625,val,0.3974748265819974,0.3037025813245298,0.03617241274645309,0.32657689759894937,0.46837275556504543,0.23042769219917825,0.36874516159990706
esm2_vs_rita,struct_2.0s,0%,L0/L0,0.0814208984375,0.2496337890625,full,0.24661180409959818,0.20172911278555156,0.02635083084293344,0.19496417564744864,0.2982594325517477,0.1506997586069415,0.2437382826005076
esm2_vs_rita,struct_2.0s,0%,L0/L0,0.0814208984375,0.2496337890625,val,0.1254730413739864,0.1026736259971768,0.026548885922729852,0.0734372249654359,0.17750885778253692,0.0482044302354229,0.1494288485603144
