model,spearman_rho,spearman_p
esm2,-0.08333333333333334,0.831214097710308
rita,0.18333333333333335,0.6368198117628943
prott5_enc,0.8333333333333333,0.005265691029161747
prott5_dec,-0.33333333333333337,0.38071318167686347
