hypothesis,depth,d_seed42,d_seed43,d_seed44,mean,sd
H1,0%,1.915231734427131,1.9043255267662231,1.8971886257455244,1.9055819623129595,0.009086936526486483
H1,25%,1.248352481889801,1.2249669206474705,1.252434060288803,1.2419178209420247,0.014821085862842288
H1,50%,1.3977654216456554,1.3859934176009725,1.3777238009346382,1.3871608800604218,0.010071686384451049
H1,75%,0.6316618061305678,0.6190357990348025,0.6142059447935465,0.6216345166529723,0.00901342186400746
H1,100%,1.6801440261309335,1.7663359788402244,1.711914315685001,1.719464773552053,0.04358922158586634
H2,0%,3.2425680573586124,3.2510198686959737,3.2322359789807567,3.2419413016784477,0.009407616341046407
H2,25%,2.5826939185434785,2.525047768265951,2.5334859828904395,2.5470758898999564,0.031133323623575838
H2,50%,1.6881003058743085,1.6900340597612733,1.6862718246509052,1.6881353967621624,0.0018813630123475393
H2,75%,2.3779499584523283,2.358492992548437,2.3731865332564883,2.369876494752418,0.010142023798045473
H2,100%,5.916029127713444,5.895269042323868,5.920901229497313,5.9107331331782085,0.013612050668858513
