pair,variant,rel_depth,layer,split,d_point,d_boot_mean,boot_sd,ci_normal_lo,ci_normal_hi,ci_pct_lo,ci_pct_hi
pt5_enc_vs_dec,struct_topdec,0%,L0,full,-0.2958078897750195,-0.2734897289182278,0.0180244277257398,-0.3311357681174697,-0.2604800114325694,-0.3095967913983252,-0.2394656394415524
pt5_enc_vs_dec,struct_topdec,13%,L3,full,-0.4015689191761375,-0.3746410218738193,0.0209947328158152,-0.4427185954951353,-0.3604192428571396,-0.4166473990113155,-0.3324006881823649
pt5_enc_vs_dec,struct_topdec,25%,L6,full,-0.3813107441120673,-0.3533675906757621,0.018924413172547,-0.4184025939302594,-0.3442188942938752,-0.3895179338529305,-0.3174715102346042
pt5_enc_vs_dec,struct_topdec,38%,L9,full,-0.130785811566398,-0.1205986439156515,0.0171098180513229,-0.164321054946991,-0.0972505681858049,-0.1535431233999088,-0.0864578785249285
pt5_enc_vs_dec,struct_topdec,50%,L12,full,0.4024323962677057,0.3697421103776579,0.0246207880659168,0.3541756516585088,0.4506891408769027,0.3220881562574368,0.4185011642606018
pt5_enc_vs_dec,struct_topdec,63%,L15,full,0.4264704575532653,0.3946591077964936,0.0234503661261575,0.3805077399459964,0.4724331751605342,0.3489845548742886,0.4419369499558881
pt5_enc_vs_dec,struct_topdec,75%,L18,full,0.5006655346281154,0.4718229042781288,0.0204387106863767,0.4606056616828169,0.5407254075734138,0.4326111765555888,0.5111833034430163
pt5_enc_vs_dec,struct_topdec,88%,L21,full,0.6877800585976013,0.6588476285137506,0.0182452813184617,0.6520193072134163,0.7235408099817863,0.6247497914541322,0.6945159707832191
pt5_enc_vs_dec,struct_topdec,100%,L23,full,0.5035988131659791,0.4617731848642418,0.0181604123994488,0.4680044048630594,0.5391932214688988,0.4273331137646273,0.500944413671498
pt5_enc_vs_dec,struct_topdec,0%,L0,val,-0.1873219166650901,-0.1459825800906619,0.0270426547279817,-0.2403255199319342,-0.1343183133982459,-0.1962134894352079,-0.0942924908465904
pt5_enc_vs_dec,struct_topdec,13%,L3,val,-0.2892116550044017,-0.2259546600824446,0.0332192854812042,-0.354321454547562,-0.2241018554612414,-0.2870314774944842,-0.160728144017264
pt5_enc_vs_dec,struct_topdec,25%,L6,val,-0.2518880246164184,-0.1971102088761317,0.0294508613330551,-0.3096117128292064,-0.1941643364036303,-0.2550129185084266,-0.1399953340277881
pt5_enc_vs_dec,struct_topdec,38%,L9,val,-0.0725968613126631,-0.0565134242179519,0.0247520597379226,-0.1211108983989915,-0.0240828242263348,-0.1040832527098676,-0.0070302631663903
pt5_enc_vs_dec,struct_topdec,50%,L12,val,0.2863412359073646,0.2218746871955657,0.0334842163055353,0.2207121719485154,0.3519702998662138,0.1591069660237113,0.2911410963232895
pt5_enc_vs_dec,struct_topdec,63%,L15,val,0.2998209249923478,0.2330049910479973,0.0394935472631296,0.2224135723566137,0.3772282776280819,0.1593377357462676,0.3102426388980958
pt5_enc_vs_dec,struct_topdec,75%,L18,val,0.3513560600141869,0.2848078070615372,0.0280740874051943,0.2963308487000061,0.4063812713283677,0.2321404377167622,0.3402841535876992
pt5_enc_vs_dec,struct_topdec,88%,L21,val,0.4709234617394552,0.3967681041461139,0.0213647179266111,0.4290486146032972,0.5127983088756132,0.3548606440439228,0.4383883532117809
pt5_enc_vs_dec,struct_topdec,100%,L23,val,0.3047195227810843,0.239385660942389,0.0245529401861299,0.2565957600162697,0.3528432855458989,0.1898628674852907,0.2862888001571613
pt5_enc_vs_dec,seq_topdec,0%,L0,full,-0.4822927929255609,-0.4747779154200452,0.025256854566338,-0.5317962278755833,-0.4327893579755383,-0.5168256220259175,-0.4150992381648501
pt5_enc_vs_dec,seq_topdec,13%,L3,full,-2.616761221780537,-2.567240992331878,0.0277979081029431,-2.6712451216623054,-2.5622773218987684,-2.619153227659885,-2.509147655829514
pt5_enc_vs_dec,seq_topdec,25%,L6,full,-1.640480056700608,-1.6022196025964923,0.036304912228635,-1.711637684668733,-1.5693224287324832,-1.6737093206469371,-1.5316443968910411
pt5_enc_vs_dec,seq_topdec,38%,L9,full,-1.571486298075114,-1.5331331736967977,0.0346643823057071,-1.6394284873942997,-1.503544108755928,-1.6005447440119789,-1.4678130789823869
pt5_enc_vs_dec,seq_topdec,50%,L12,full,-0.079676873479169,-0.0784776587593782,0.0523870157613959,-0.1823554243715052,0.023001677413167,-0.1777722944292635,0.0282253592795721
pt5_enc_vs_dec,seq_topdec,63%,L15,full,1.7081410671134838,1.6457255346001824,0.045528537734707,1.618905133153458,1.7973770010735095,1.56081920809846,1.7378607894882458
pt5_enc_vs_dec,seq_topdec,75%,L18,full,1.330009062591268,1.273226536331462,0.0492289847696334,1.2335202524427864,1.4264978727397497,1.1756851252112994,1.3662505050315794
pt5_enc_vs_dec,seq_topdec,88%,L21,full,-0.48111523154564,-0.4593505743853581,0.0744292033051813,-0.6269964700237954,-0.3352339930674846,-0.5633598780943461,-0.2751174785972413
pt5_enc_vs_dec,seq_topdec,100%,L23,full,2.485639744752234,2.391116220986041,0.028459411792163,2.4298592976395943,2.541420191864874,2.3383629428269925,2.444914705507076
pt5_enc_vs_dec,seq_topdec,0%,L0,val,-0.497295112126996,-0.4544134070076288,0.0400435994904715,-0.5757805671283204,-0.4188096571256717,-0.5319122319058281,-0.3811846088763298
pt5_enc_vs_dec,seq_topdec,13%,L3,val,-2.362506899394312,-2.1023973550403543,0.064441855833318,-2.4888129368276157,-2.2362008619610085,-2.224248352146442,-1.97551032559074
pt5_enc_vs_dec,seq_topdec,25%,L6,val,-1.4244461375559252,-1.2517304093723205,0.0778029235418629,-1.5769398676979764,-1.271952407413874,-1.395740593228936,-1.0983460903328786
